S#,Location,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,city,state
284,"Iowa City, Iowa",11/1/1991,6,1,6,No,Asian,Male,41.65589405,-91.53117986,Iowa City, Iowa
285,"Killeen, Texas",10/16/1991,24,20,43,Yes,White,Male,31.07925506,-97.73392317,Killeen, Texas
286,"Ridgewood, New Jersey",10/10/1991,3,0,3,Yes,Black,Male,40.98213277,-74.11264731,Ridgewood, New Jersey
287,"Phoenix, Arizona",8/9/1991,9,0,9,No,,Male,33.57145875,-112.0904854,Phoenix, Arizona
288,"Jacksonville, Florida",6/17/1990,12,6,17,No,Black,Male,30.33216122,-81.67576993,Jacksonville, Florida
289,"Louisville, Kentucky",9/14/1989,9,12,20,Yes,White,Male,38.249432,-85.72624300000001,Louisville, Kentucky
290,"Escondido, California",8/10/1989,4,1,4,No,White,Male,33.13439925,-117.07225279999999,Escondido, California
291,"Stockton, California",1/17/1989,6,30,35,Yes,White,Male,37.96631812,-121.30187749999999,Stockton, California
292,"New Orleans, Louisiana",12/14/1988,0,4,4,,,Male,30.0687242,-89.93147412,New Orleans, Louisiana
293,"Greenwood, South Carolina",9/26/1988,2,9,11,Yes,White,Male,34.1928952,-82.15355508,Greenwood, South Carolina
294,"Chicago, Illinois",9/22/1988,5,2,6,No,Black,Male,41.83928045,-87.68818145,Chicago, Illinois
295,"Winnetka, Illinois",5/20/1988,2,7,8,Yes,White,Female,42.10648807,-87.74211141,Winnetka, Illinois
296,"Sunnyvale, California",2/16/1988,7,4,11,Yes,White,Male,37.38344257,-122.02561850000001,Sunnyvale, California
297,"Pinellas Park, Florida",2/11/1988,1,2,3,No,White,Male,27.84887061,-82.71058000000001,Pinellas Park, Florida
298,"Palm Bay, Florida",4/23/1987,6,14,20,Yes,White,Male,27.98388983,-80.66662713,Palm Bay, Florida
299,"Lewistown, Montana",12/4/1986,1,3,4,Yes,White,Male,47.03740653,-109.4844918,Lewistown, Montana
300,"Edmond, Oklahoma",8/20/1986,15,6,20,Yes,White,Male,35.66889223,-97.41438792,Edmond, Oklahoma
301,"Brooklyn, New York",8/12/1986,1,4,5,Yes,Black,Male,40.679276,-73.939513,Brooklyn, New York
302,"Atlanta, Georgia",3/6/1985,2,1,3,Yes,Black,Male,33.7629969,-84.4231328,Atlanta, Georgia
303,"Goddard, Kansas",1/21/1985,1,3,4,Yes,White,Male,37.67129418,-97.55070476,Goddard, Kansas
304,"San Ysidro, California",7/18/1984,22,19,40,Yes,White,Male,32.555556,-117.047656,San Ysidro, California
305,"Dallas, Texas",6/29/1984,6,1,7,Yes,White,Male,32.79480596,-96.76631094,Dallas, Texas
306,"Los Angeles, California",2/24/1984,3,12,14,Yes,Black,Male,34.17622092,-118.53995420000001,Los Angeles, California
307,"Johnston, South Carolina",8/19/1983,1,3,4,Yes,White,Male,33.83272887,-81.8051584,Johnston, South Carolina
308,"Seattle, Washington",2/18/1983,13,1,14,,Asian,Male,47.62199575,-122.323646,Seattle, Washington
309,"Miami, Florida",8/20/1982,9,3,11,Yes,White,Male,25.79653943,-80.20840397,Miami, Florida
310,"Las Vegas, Nevada",3/19/1982,1,2,3,Yes,White,Male,36.18931923,-115.3264875,Las Vegas, Nevada
311,"Columbia, South Carolina",10/6/1979,2,5,7,,Black,Male,34.05098834,-80.82077527,Columbia, South Carolina
312,"San Diego, California",1/29/1979,2,9,11,Yes,White,Female,32.86357277,-117.1281628,San Diego, California
313,"Fullerton, California",7/12/1976,7,2,9,Yes,White,Male,33.88404244,-117.92785,Fullerton, California
314,"Los Angeles, California",2/19/1976,1,7,8,,White,Male,34.17622092,-118.53995420000001,Los Angeles, California
315,"Olean, New York",12/30/1974,3,7,10,No,White,Male,42.08185369,-78.43213922,Olean, New York
316,"Chicago, Illinois",1/17/1974,1,3,4,Yes,,Male,41.83928045,-87.68818145,Chicago, Illinois
317,"New Orleans, Louisiana",12/31/1972,10,13,22,Yes,Black,Male,30.0687242,-89.93147412,New Orleans, Louisiana
318,"Spokane, Washington",11/11/1971,2,4,5,Yes,White,Male,47.67367375,-117.41598429999999,Spokane, Washington
319,"Mesa, Arizona",11/12/1966,5,1,6,Yes,White,Male,33.42268696,-111.8163202,Mesa, Arizona
320,"Austin, Texas",8/1/1966,17,32,48,Yes,White,Male,30.198887300000003,-97.84415949,Austin, Texas
